Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,14.380000,14.540000,14.360000,14.526667,14.526667,95400
2019-01-03,14.613333,14.613333,14.493333,14.546667,14.546667,82050
2019-01-04,15.066667,15.493333,15.066667,15.393333,15.393333,102600
2019-01-07,15.466667,15.593333,15.466667,15.526667,15.526667,99300
2019-01-08,15.086667,15.126667,15.020000,15.073333,15.073333,64050
2019-01-09,15.373333,15.400000,15.293333,15.360000,15.360000,68850
2019-01-10,15.200000,15.300000,14.413333,14.820000,14.820000,130650
2019-01-11,14.840000,14.846667,14.733333,14.813333,14.813333,58050
2019-01-14,14.686667,14.840000,14.686667,14.793333,14.793333,96750
2019-01-15,14.260000,14.493333,14.260000,14.446667,14.446667,53550
2019-01-16,14.466667,14.520000,14.406667,14.480000,14.480000,89850
2019-01-17,14.366667,14.493333,14.366667,14.426667,14.426667,97650
2019-01-18,14.306667,14.433333,14.306667,14.406667,14.406667,113400
2019-01-22,14.553333,14.633333,14.500000,14.526667,14.526667,114450
2019-01-23,14.426667,14.526667,14.400000,14.400000,14.400000,246900
2019-01-24,14.446667,14.446667,14.360000,14.386667,14.386667,56700
2019-01-25,14.400000,14.440000,14.366667,14.406667,14.406667,85500
2019-01-28,14.180000,14.246667,14.166667,14.220000,14.220000,107250
2019-01-29,14.366667,14.453333,14.366667,14.400000,14.400000,162600
2019-01-30,14.380000,14.480000,14.286667,14.433333,14.433333,105300
2019-01-31,14.420000,14.526667,14.406667,14.500000,14.500000,96750
2019-02-01,14.526667,14.533333,14.426667,14.460000,14.460000,105750
2019-02-04,14.400000,14.473333,14.400000,14.446667,14.446667,84600
2019-02-05,14.653333,14.700000,14.653333,14.693333,14.693333,89250
2019-02-06,14.813333,14.880000,14.753333,14.800000,14.800000,116550
2019-02-07,14.506667,14.506667,14.353333,14.373333,14.373333,60900
2019-02-08,14.293333,14.413333,14.293333,14.400000,14.400000,62550
2019-02-11,14.320000,14.393333,14.320000,14.360000,14.360000,117600
2019-02-12,14.573333,14.626667,14.573333,14.606667,14.606667,87000
2019-02-13,14.640000,14.673333,14.440000,14.473333,14.473333,69900
2019-02-14,14.473333,14.560000,14.446667,14.546667,14.546667,64800
2019-02-15,14.780000,14.853333,14.706667,14.820000,14.820000,125100
2019-02-19,15.033333,15.120000,15.026667,15.113333,15.113333,121350
2019-02-20,14.913333,14.960000,14.886667,14.900000,14.900000,83700
2019-02-21,14.973333,15.006667,14.920000,14.940000,14.940000,77400
2019-02-22,14.853333,14.940000,14.853333,14.926667,14.926667,60600
2019-02-25,14.880000,14.946667,14.826667,14.860000,14.860000,93750
2019-02-26,14.760000,14.813333,14.700000,14.766667,14.766667,69150
2019-02-27,14.800000,14.846667,14.780000,14.806667,14.806667,124950
2019-02-28,14.633333,14.740000,14.626667,14.653333,14.653333,65700
2019-03-01,14.786667,14.786667,14.513333,14.560000,14.560000,49200
2019-03-04,14.226667,14.260000,14.180000,14.206667,14.206667,66000
2019-03-05,14.026667,14.060000,13.993333,14.020000,14.020000,73200
2019-03-06,13.586667,13.633333,13.566667,13.573333,13.573333,78600
2019-03-07,13.513333,13.586667,13.480000,13.526667,13.526667,110250
2019-03-08,13.266667,13.626667,13.266667,13.593333,13.593333,163200
2019-03-11,13.793333,13.833333,13.733333,13.820000,13.820000,105450
2019-03-12,13.593333,14.160000,13.593333,13.873333,13.873333,134400
2019-03-13,13.813333,13.900000,13.813333,13.893333,13.893333,70500
2019-03-14,13.540000,13.540000,13.346667,13.386667,13.386667,100350
2019-03-15,13.886667,13.893333,13.813333,13.866667,13.866667,275850
2019-03-18,13.333333,13.626667,13.333333,13.600000,13.600000,87600
2019-03-19,13.433333,13.433333,13.340000,13.386667,13.386667,111750
2019-03-20,13.093333,13.320000,13.093333,13.260000,13.260000,128700
2019-03-21,13.266667,13.320000,13.246667,13.300000,13.300000,131100
2019-03-22,13.073333,13.073333,12.920000,12.920000,12.920000,65400
2019-03-25,12.806667,12.873333,12.806667,12.846667,12.846667,258000
2019-03-26,13.120000,13.153333,13.066667,13.080000,13.080000,402750
2019-03-27,12.833333,12.860000,12.753333,12.786667,12.786667,169950
2019-03-28,12.473333,12.620000,12.340000,12.600000,12.600000,135300
2019-03-29,12.506667,12.586667,12.506667,12.546667,12.546667,102750
2019-04-01,12.720000,12.766667,12.713333,12.740000,12.740000,193650
2019-04-02,12.506667,12.533333,12.413333,12.480000,12.480000,319800
2019-04-03,12.626667,12.700000,12.606667,12.620000,12.620000,115800
2019-04-04,12.520000,12.520000,12.200000,12.220000,12.220000,208500
2019-04-05,12.193333,12.206667,12.120000,12.173333,12.173333,1153050
2019-04-08,12.000000,12.173333,12.000000,12.146667,12.146667,161700
2019-04-09,11.813333,11.853333,11.800000,11.800000,11.800000,327450
2019-04-10,11.700000,11.700000,11.620000,11.646667,11.646667,969000
2019-04-11,11.813333,11.813333,11.713333,11.726667,11.726667,1083300
2019-04-12,11.473333,11.473333,11.406667,11.440000,11.440000,905250
2019-04-15,11.533333,11.533333,11.466667,11.466667,11.466667,930000
